date,hr_beg,ACTUAL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE
2014-01-13,4,8134.03,7035.6346938775505
2014-01-13,5,7133.72,7488.463265306123
2014-01-13,6,7106.08,7463.142857142856
2014-01-13,7,7457.84,7386.797959183673
2014-01-13,8,7196.55,7188.3367346938785
2014-01-13,9,6576.3,6776.308163265306
2014-01-13,10,5757.73,6462.771428571429
2014-01-13,11,5451.97,6260.759183673468
2014-01-13,12,5165.11,5844.808163265306
2014-01-13,13,5192.57,5469.761224489797
2014-01-13,14,4689.57,5044.095918367347
2014-01-13,15,3567.0,4217.267346938776
2014-01-13,16,3628.06,3818.8612244897963
2014-01-13,17,3953.7,3739.0142857142864
2014-01-13,18,3796.54,3756.8122448979584
2014-01-13,19,4288.35,3869.5510204081634
2014-01-13,20,4742.53,3906.8591836734713
2014-01-13,21,4477.78,3731.814285714286
2014-01-13,22,4128.59,3114.636734693878
2014-01-13,23,2613.64,2683.504081632653
2014-01-14,0,1659.01,2755.8836734693887
2014-01-14,1,1262.67,3193.377551020407
2014-01-14,2,1067.44,3770.8571428571436
2014-01-14,3,1521.09,4206.630612244899
2014-01-14,4,2233.62,4592.546938775511
2014-01-14,5,3205.55,4867.753061224491
2014-01-14,6,3617.13,5109.11224489796
2014-01-14,7,4070.86,5293.47142857143
2014-01-14,8,3991.95,5316.244897959183
2014-01-14,9,3858.66,5217.628571428572
2014-01-14,10,4233.17,4978.269387755102
2014-01-14,11,4247.82,4655.836734693877
2014-01-14,12,4674.75,4437.732653061225
2014-01-14,13,5506.2,4421.385714285713
2014-01-14,14,5190.78,4277.45918367347
2014-01-14,15,4668.88,3857.66530612245
2014-01-14,16,5374.53,4062.012244897959
2014-01-14,17,6378.28,4615.581632653061
2014-01-14,18,6599.77,4834.602040816325
2014-01-14,19,6771.51,4831.64693877551
2014-01-14,20,6900.06,4843.279591836735
2014-01-14,21,7168.0,4864.044897959184
2014-01-14,22,7187.44,4775.906122448979
2014-01-14,23,6544.36,4259.302040816327
2014-01-15,0,6081.47,3908.1081632653054
2014-01-15,1,6070.77,3671.9612244897967
